firstContentfulPaint,speedIndex,largestContentfulPaint,interactive,totalBlockingTime,cumulativeLayoutShift,performanceScore
977.604,2378.981,977.604,3255.104,253,0.011,97
833.842,833.842,833.842,3056.842,159.5,0.003,99
1065.24,1065.24,1291.24,3110.24,174.5,0.003,99
852.452,852.452,852.452,3112.452,219,0.003,98
863.053,1230.045,863.053,3118.053,176,0.003,99
998.127,1933.137,998.127,3265.127,247,0.011,98
988.19,1973.035,988.19,3243.69,234.5,0.011,98
834.948,1022.56,834.948,3112.448,213,0.009,98
830.549,830.549,830.549,3111.049,218.5,0.003,98
978.909,2068.535,978.909,3270.909,274,0.011,97
861.145,1428.351,861.145,3151.145,182.5,0.003,99
1055.898,1231.804,1206.898,3092.398,170.5,0.004,99
836.461,1071.414,836.461,3094.461,219.5,0.011,98
841.922,1255.933,841.922,3164.422,187.5,0.003,99
864.308,1235.262,864.308,3102.308,225,0.004,98
863.685,863.685,863.685,3120.185,214.5,0.003,98
1253.097,1253.097,1404.097,3144.097,180,0.003,99
859.2,859.2,859.2,3090.2,177.5,0.003,99
863.79,863.79,863.79,3120.79,212.5,0.003,98
859.788,1227.403,859.788,3149.288,220,0.003,98
977.001,1860.362,977.001,3225.001,224,0.012,98
856.285,1163.605,856.285,3144.285,183,0.003,99
924.39,924.39,1075.39,3116.39,171.5,0.003,99
863.011,1448.864,863.011,3170.011,179,0.003,99
856.398,1247.361,856.398,3111.898,178.5,0.003,99
857.766,1436.216,857.766,3153.766,178.5,0.003,99
988.495,1761.798,988.495,3277.495,221,0.003,98
853.577,1088.965,853.577,3102.077,210,0.009,99
855.61,855.61,855.61,3087.61,176.5,0.003,99
870.68,1085.727,870.68,3139.68,227,0.003,98
859.684,859.684,859.684,3142.684,176,0.003,99
852.027,1181.266,852.027,3110.027,174.5,0.003,99
837.513,1164.075,837.513,3114.513,218.5,0.003,98
845.3,1163.443,845.3,3101.8,223.5,0.003,98
865.121,1492.764,865.121,3188.121,184.5,0.003,99
999.502,1854.34,999.502,3255.502,237,0.011,98
864.19,1164.333,864.19,3117.19,212.5,0.003,98
852.014,1171.536,852.014,3127.014,216,0.003,98
867.841,1266.903,867.841,3137.841,179,0.003,99
860.408,860.408,860.408,3098.408,216,0.003,98
985.443,2030.436,985.443,3232.443,220.5,0.011,98
870.297,1327.235,870.297,3197.297,197.5,0.003,99
1070.68,1398.51,1296.68,3198.68,194.5,0.003,99
842.062,1212.142,842.062,3086.562,212,0.003,98
1097.314,2581.808,1097.314,3353.314,243,0.011,97
839.617,1008.667,839.617,3100.117,218.5,0.003,98
862.862,1288.266,862.862,3205.862,203.5,0.003,99
853.323,853.323,853.323,3130.323,228,0.003,98
842.691,842.691,842.691,3069.691,183.5,0.004,99
843.227,1228.926,843.227,3101.227,216,0.003,98
867.936,867.936,867.936,3095.936,211,0.003,99
992.078,1261.08,992.078,3241.078,226.5,0.003,98
846.326,992.648,846.326,3132.826,230,0.011,98
886.509,1163.142,886.509,3161.509,182.5,0.003,99
855.783,1305.257,855.783,3140.783,176,0.003,99
1067.187,1142.437,1218.187,3092.187,157.5,0.003,99
1080,1206.556,1231,3140,175.5,0.004,99
1052.954,1207.655,1203.954,3077.954,163.5,0.004,99
1212.185,1213.655,1438.185,3118.185,169,0.011,99
857.683,1204.763,857.683,3127.683,207.5,0.004,99
1082.612,1082.612,1308.612,3134.612,171,0.003,99
854.59,1430.685,854.59,3150.59,179,0.003,99
919.65,1105.069,1070.65,3112.15,168,0.003,99
854.977,1188.574,854.977,3096.977,165,0.003,99
834.107,1135.589,834.107,3077.607,214.5,0.004,98
857.685,857.685,857.685,3122.685,178,0.004,99
857.572,1484.213,857.572,3159.572,188,0.003,99
878.447,1253.542,878.447,3156.447,175,0.003,99
855.722,1197.958,855.722,3136.222,186.5,0.003,99
864.946,1081.727,864.946,3111.946,220.5,0.003,98
853.725,853.725,853.725,3094.725,180.5,0.003,99
857.665,1247.505,857.665,3110.665,176,0.003,99
1215.094,1406.872,1441.094,3134.094,161,0.003,99
1081.053,1242.175,1232.053,3161.053,168.5,0.003,99
854.331,1098.615,854.331,3185.331,248.5,0.003,98
859.793,1205.613,859.793,3132.293,183.5,0.003,99
862.855,1135.452,862.855,3154.855,222,0.003,98
856.28,1142.177,856.28,3102.78,215.5,0.003,98
863.086,1071.922,863.086,3145.586,233.5,0.003,98
867.196,867.196,867.196,3130.196,235,0.003,98
860.041,1222.931,860.041,3089.541,168,0.003,99
865.684,1170.854,865.684,3152.684,184,0.003,99
855.688,1247.273,855.688,3144.688,178,0.003,99
1052.049,1133.884,1278.049,3113.549,166.5,0.011,99
858.122,1068.316,858.122,3102.622,213,0.003,98
1060.16,1230.855,1286.16,3149.16,186,0.003,99
858.942,1143.024,858.942,3140.942,223.5,0.003,98
836.779,1188.196,836.779,3104.279,185.5,0.003,99
859.483,859.483,859.483,3086.483,173.5,0.004,99
866.676,1222.762,1081.676,3122.676,221,0.003,98
876.967,876.967,876.967,3130.467,213.5,0.003,98
864.561,1088.365,864.561,3141.061,221,0.003,98
862.49,1219.785,862.49,3124.49,203,0.004,99
835.697,1248.494,835.697,3125.697,187.5,0.003,99
874.971,1124.204,874.971,3135.471,208,0.004,99
877.979,1562.879,877.979,3175.979,189,0.003,99
1053.418,1079.243,1204.418,3107.918,176,0.009,99
869.202,1123.199,869.202,3134.702,190.5,0.003,99
894.998,894.998,894.998,3153.998,226.5,0.003,98
930.999,1448.332,1081.999,3147.999,164,0.003,99
