firstContentfulPaint,speedIndex,largestContentfulPaint,interactive,totalBlockingTime,cumulativeLayoutShift,performanceScore
1928.571,7788.477,1928.571,4541.972,922,0.021,66
1010.809,1892.926,1010.809,3257.228,399.007,0.022,93
1018.716,1580.501,1018.716,3360.976,639.145,0.022,85
3076.457,11927.812,3076.457,5727.826,377,0.021,66
1159.068,2810.048,1247.819,3869.624,1165.498,0.021,76
1279.44,3798.469,1279.44,5158.388,3390.448,0.021,69
1098.571,2379.19,1331.672,4918.354,2672.621,0.021,71
1453.625,2987.627,1453.625,4744.973,2477.288,0.021,71
1209.165,2635.712,1384.532,4441.284,1908.766,0.021,73
1893.258,2231.641,1893.258,4227.368,1367.256,0.021,74
1161.896,1513.288,1161.896,3328.517,417.5,0.021,93
1510.07,1574.299,1510.07,3422.141,328.944,0.022,95
1010.276,1673.636,1010.276,3526.017,929.5,0.044,79
1160.749,1864.092,1160.749,3694.913,1234.5,0.021,76
1174.202,1887.311,1504.591,3375.81,723.982,0.021,83
1174.746,1425.454,1174.746,3482.492,760.566,0.022,82
1177.226,1426.072,1177.226,3553.306,781.32,0.021,82
1167.611,1542.991,1167.611,3929.687,1291.946,0.021,76
1333.168,1913.189,1501.794,3821.237,1236,0.022,76
1163.938,1505.386,1163.938,3312.135,435,0.021,92
1186.375,1590.214,1186.375,3541.307,719.178,0.021,83
1174.533,1310.896,1174.533,3346.585,654.536,0.021,85
1168.767,1494.392,1168.767,3315.377,427.5,0.022,92
1173.231,1347.965,1173.231,3713.525,1224.224,0.022,76
1114.695,1586.12,1114.695,3363.664,470.481,0.021,90
1069.357,1536.425,1069.357,3401.341,729.418,0.021,83
1209.756,2540.096,1209.756,2737.894,429.954,0.021,92
1193.913,1607.561,1193.913,2215.859,810.446,0.021,82
1025.012,1409.554,1025.012,3264.965,474.5,0.021,91
1177.661,1481.121,1177.661,3397.144,610.916,0.022,86
1162.902,1556.96,1162.902,3324.17,421.5,0.021,92
1179.116,1399.926,1179.116,3261.961,361.72,0.021,94
1172.899,1503.995,1172.899,3412.778,462.108,0.021,91
1010.954,1498.304,1010.954,3420.217,812.979,0.021,81
1170.187,1430.52,1170.187,3230.419,387,0.021,94
1024.38,1454.301,1024.38,3363.852,615.044,0.044,86
1195.257,1795.196,1280.272,3565.619,559.971,0.021,88
1180.927,1475.86,1265.609,3525.295,1031.272,0.021,78
1160.789,1263.401,1160.789,3239.899,199.36,0.044,98
1176.533,1566.317,1176.533,3366.737,528.872,0.021,89
1176.342,1463.666,1176.342,3517.598,816.5,0.022,81
1341.378,2325.266,1426.283,4409.453,2420.57,0.044,73
1168.444,1412.044,1168.444,3423.155,643.398,0.021,85
1167.773,1401.869,1167.773,3340.238,888.5,0.045,80
1182.476,1468.722,1182.476,3666.826,1028.444,0.021,78
1512.763,2005.155,1682.932,3682.622,905.824,0.021,79
1174.888,1509.136,1344.815,3510.012,888,0.021,80
1161.123,1423.825,1330.045,3542.187,870,0.021,80
1171.788,1927.425,1171.788,3497.852,742,0.045,83
1173.515,1787.55,1173.515,3502.439,808.5,0.021,81
1209.989,2175.305,1209.989,3326.023,730.5,0.044,83
1176.043,1511.4,1176.043,3302.221,473.466,0.021,91
1168.936,1532.33,1168.936,3330.207,462.678,0.044,91
1178.83,1540.29,1178.83,3485.739,553.342,0.021,88
1181.008,1802.769,1181.008,3180.168,452.668,0.044,91
1269.443,2562.261,1269.443,3584.756,727.75,0.021,83
1171.168,1418.147,1171.168,3379.065,659,0.021,85
1165.016,1353.171,1165.016,3499.56,818.576,0.022,81
1174.072,1350.601,1174.072,3077.773,130.5,0.022,99
1293.795,1673.109,1293.795,3512.385,531.5,0.044,88
1520.174,1675.344,1520.174,3397.34,308.404,0.02,96
1177.826,1953.075,1177.826,3618.17,714.888,0.022,83
1187.663,2050.346,1187.663,2446.639,1021,0.021,79
1173.069,1666.533,1173.069,3175.539,515.706,0.045,89
1181.051,1436.861,1181.051,3399.556,569.09,0.021,87
1094.288,2019.118,1094.288,3520.802,946.226,0.022,79
1162.321,1416.186,1162.321,3445.928,820.59,0.044,81
1337.081,1996.033,1337.081,3536.101,484,0.021,90
1265.037,1625.376,1265.037,3636.117,928.5,0.021,79
1260.625,1624.85,1260.625,3464.007,557.976,0.022,88
1185.865,1530.137,1185.865,3415.199,500.594,0.022,89
1190.61,1543.237,1190.61,3378.52,549.5,0.021,88
1069.707,1946.854,1069.707,3302.41,243.027,0.021,98
1824.548,1928.665,1824.548,3606.608,280.34,0.022,96
1176.523,1489.332,1176.523,3357.066,494.674,0.021,90
1190.583,1442.588,1190.583,3493.026,568.162,0.021,87
1341.953,1620.271,1341.953,1928.771,403.818,0.021,94
1166.497,1933.087,1166.497,3270.481,618.122,0.021,86
1160.029,1733.975,1160.029,3281.688,424.184,0.044,92
1513.334,1650.638,1513.334,3495.714,505.548,0.044,89
1173.542,1560.248,1259.594,3172.263,987.294,0.021,79
1174.708,1389.548,1174.708,3515.964,846,0.021,81
1160.717,2190.816,1160.717,3462.405,709.052,0.021,84
1496.722,1807.132,1666.34,3562.812,1203,0.044,76
1345.29,1704.851,1514.325,3387.157,454.5,0.044,91
1176.276,1445.941,1176.276,3516.18,855.016,0.022,81
1178.995,1414.418,1178.995,3460.351,776.5,0.022,82
1202.312,1558.949,1202.312,1684.222,273.91,0.021,98
1176.757,1518.814,1176.757,3390.197,425.88,0.021,92
1175.435,1527.189,1175.435,3516.427,793.168,0.021,82
1084.227,1895.57,1084.227,3584.878,880.373,0.021,80
1005.105,1659.015,1005.105,3336.125,585.165,0.021,87
1170.962,1461.971,1340.072,3073.507,438,0.044,92
1172.694,1383.174,1172.694,3506.226,781.5,0.021,82
1174.683,1437.024,1174.683,3454.144,697.246,0.021,84
1200.852,1549.131,1200.852,3475.22,473.436,0.021,90
1527.175,1805.194,1527.175,3410.211,337.748,0.021,95
1169.418,1676.203,1169.418,3337.031,461.934,0.044,91
1161.63,1373.403,1161.63,3495.266,723.394,0.022,83
1331.743,1990.102,1415.808,3713.655,1357.5,0.021,76
