firstContentfulPaint,speedIndex,largestContentfulPaint,interactive,totalBlockingTime,cumulativeLayoutShift,performanceScore
2344.028,2344.028,3087.902,2828.528,135.5,0.003,92
2606.205,2606.205,2606.205,3988.024,495.196,0.004,83
2326.855,2326.855,2326.855,3516.855,122,0.022,95
2340.466,2340.466,2340.466,3534.58,118.5,0.004,95
2322.391,2322.391,2322.391,3372.391,125.5,0.022,96
2356.367,2356.367,2356.367,3553.367,124.5,0.021,95
2326.761,2326.761,2326.761,3371.279,122,0.023,96
2330.309,2330.309,2330.309,3519.309,120.5,0.021,95
2341.429,2341.429,2341.429,3535.32,122,0.022,95
2330.08,2330.08,2330.08,3374.58,126,0.021,96
2368.742,2368.742,2368.742,3410.617,120.5,0.021,95
2394.856,2394.856,2394.856,3446.337,126.5,0.004,95
2358.165,2358.165,2358.165,3568.504,132.5,0.021,95
2372.949,2372.949,2372.949,3417.449,126,0.022,95
2361.399,2361.399,2361.399,3406.427,125,0.021,95
2325.943,2325.943,2325.943,3519.443,125,0.021,95
2324.566,2324.566,2324.566,3518.066,123,0.021,95
2359.018,2359.018,2359.018,3404.211,124.5,0.021,95
2333.699,2333.699,2333.699,3393.118,127,0.022,95
2334.428,2334.428,2334.428,3379.156,122,0.004,95
2375.88,2375.88,2375.88,3576.239,126.5,0.021,95
2327.761,2327.761,2327.761,3374.463,119.5,0.021,96
2353.436,2353.436,2353.436,3396.596,122,0.021,95
2326.8,2326.8,2326.8,3519.3,123.5,0.004,95
2333.714,2333.714,2333.714,3524.714,123,0.022,95
2339.022,2339.022,2339.022,3381.253,124.5,0.021,95
2335.545,2335.545,2335.545,3431.11,132,0.021,95
2331.101,2331.101,2331.101,3377.599,122.5,0.021,96
2336.005,2336.005,2336.005,3388.171,130.5,0.004,95
2357.413,2357.413,2357.413,3473.177,121,0.004,95
2311.613,2311.613,2311.613,3498.949,124.5,0.022,95
2362.445,2362.445,2362.445,3401.445,125,0.004,95
2325.892,2325.892,2325.892,3365.228,119,0.005,96
2316.983,2316.983,2316.983,3358.318,117.5,0.004,96
2324.79,2324.79,2324.79,3371.79,124.5,0.004,96
2354.471,2354.471,2354.471,3394.28,118,0.004,95
2358.816,2358.816,2358.816,3398.932,123,0.022,95
2343.52,2343.52,2343.52,3531.52,123,0.022,95
